id,date,report,security
60,15-04-24,Issue 60 : iOS - Swipe Backwards Navigation - Half Swipe ， Issue #60 ， NativeScript/NativeScript ， GitHub From @ligaz on March 30  2015 18:50 From @papaytl185 on March 24  2015 13:47 If you begin to swipe backward in ios to go to the previous page  but then stay on the current page it will lock / freeze the app. This happens for all the sample applications as well. I am using appbuilder companion app  iphone 6 - ios 8.2 Copied from original issue: NativeScript/NativeScript#20 Copied from original issue: NativeScript/cross-platform-modules#234,0
74,15-04-24,Issue 74 : [iOS] ListView does not provide accessibility for ListViewItems ， Issue #74 ， NativeScript/NativeScript ， GitHub From @dtopuzov on February 9  2015 9:41 Currently ListView does not provide accessibility for ListViewItems. Without accessibility it is hard (or even sometimes impossible) to implement UI tests. Copied from original issue: NativeScript/cross-platform-modules#58,1
75,15-04-24,Issue 75 : [Android] No declarations for the DrawerLayout class from the support library ， Issue #75 ， NativeScript/NativeScript ， GitHub From @dtopuzov on February 9  2015 9:39 No declarations for the DrawerLayout class from the support library. This cause not IntelliSense for this component. Steps to reproduce: DrawerLayout not found in cross-platform-modules/master/android17.d.ts Copied from original issue: NativeScript/cross-platform-modules#57,0
76,15-04-24,Issue 76 : [iOS 8.1] Issue with cuteness when open details page and navigate back ， Issue #76 ， NativeScript/NativeScript ， GitHub From @dtopuzov on February 6  2015 7:31 Steps to reproduce: Start Cuteness app Swipe down fast and tap on some ListView item Detail page opens Tap back Result: Home page with ListView loaded  but you are not on the same place where you where before (different items are displayed in the ListView) Copied from original issue: NativeScript/cross-platform-modules#49,0
91,15-04-28,Issue 91 : Android: TabViewItem does not get the right resource image ， Issue #91 ， NativeScript/NativeScript ， GitHub When there are resolution specific resources  TabViewItem gets the smallest image,0
111,15-05-04,Issue 111 : Loaded and Unloaded events are not called correctly on elements inside TabView when navigating ， Issue #111 ， NativeScript/NativeScript ， GitHub No description provided.,0
127,15-05-08,Issue 127 : image-cache exception ， Issue #127 ， NativeScript/NativeScript ， GitHub 05-04 17:28:21.567: E/TNS.Native(22178): Error: java.lang.NullPointerException: key == null || value == null 05-04 17:28:21.567: E/TNS.Native(22178): android.util.LruCache.put(LruCache.java:167) 05-04 17:28:21.567: E/TNS.Native(22178): com.tns.Platform.callJSMethodNative(Native Method) 05-04 17:28:21.567: E/TNS.Native(22178): com.tns.Platform.dispatchCallJSMethodNative(Platform.java:814) 05-04 17:28:21.567: E/TNS.Native(22178): com.tns.Platform.callJSMethod(Platform.java:660) 05-04 17:28:21.567: E/TNS.Native(22178): com.tns.Platform.callJSMethod(Platform.java:638) 05-04 17:28:21.567: E/TNS.Native(22178): com.tns.Platform.callJSMethod(Platform.java:628) 05-04 17:28:21.567: E/TNS.Native(22178): com.tns.gen.com.tns.Async_CompleteCallback-fui-image-cache-l29-c26--.onComplete(com.tns.Async$CompleteCallback.java) 05-04 17:28:21.567: E/TNS.Native(22178): com.tns.Async$ImageDownloadTask.onPostExecute(Async.java:359) 05-04 17:28:21.567: E/TNS.Native(22178): com.tns.Async$ImageDownloadTask.onPostExecute(Async.java:1) 05-04 17:28:21.567: E/TNS.Native(22178): android.os.AsyncTask.finish(AsyncTask.java:632) 05-04 17:28:21.567: E/TNS.Native(22178): android.os.AsyncTask.access$600(AsyncTask.java:177) 05-04 17:28:21.567: E/TNS.Native(22178): android.os.AsyncTask$InternalHandler.handleMessage(AsyncTask.java:645) 05-04 17:28:21.567: E/TNS.Native(22178): android.os.Handler.dispatchMessage(Handler.java:102) 05-04 17:28:21.567: E/TNS.Native(22178): android.os.Looper.loop(Looper.java:136) 05-04 17:28:21.567: E/TNS.Native(22178): android.app.ActivityThread.main(ActivityThread.java:5001) 05-04 17:28:21.567: E/TNS.Native(22178): java.lang.reflect.Method.invokeNative(Native Method) 05-04 17:28:21.567: E/TNS.Native(22178): java.lang.reflect.Method.invoke(Method.java:515) 05-04 17:28:21.567: E/TNS.Native(22178): com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:785) 05-04 17:28:21.567: E/TNS.Native(22178): com.android.internal.os.ZygoteInit.main(ZygoteInit.java:601) 05-04 17:28:21.567: E/TNS.Native(22178): dalvik.system.NativeStart.main(Native Method) 05-04 17:28:21.567: E/TNS.Native(22178): File: "ui/image-cache  line: 46  column: 20 05-04 17:28:21.567: E/TNS.Native(22178): StackTrace: 05-04 17:28:21.567: E/TNS.Native(22178): Frame: function:'Cache.set'  file:'ui/image-cache'  line: 46  column: 21 05-04 17:28:21.567: E/TNS.Native(22178): Frame: function:'Cache._onDownloadCompleted'  file:'ui/image-cache/image-cache-common'  line: 98  column: 14 05-04 17:28:21.567: E/TNS.Native(22178): Frame: function:'Cache._callback.com.tns.Async.CompleteCallback.onComplete'  file:'ui/image-cache'  line: 33  column: 30 Best regards  Georgi,1
132,15-05-08,Issue 132 : [Cuteness App] ListView show incorrect images when swipe down ， Issue #132 ， NativeScript/NativeScript ， GitHub Steps to reproduce: Start Cuteness App Start swipe down slowly without releasing your finger. Result: Incorrect images are displayed in new ListView items. Once you finish swipe (release your finger) correct images are loaded and displayed. Expected: Show default image until new image is not loaded.,0
133,15-05-08,Issue 133 : [Cuteness App] ListView is empty when navigate from details page to list view ， Issue #133 ， NativeScript/NativeScript ， GitHub Steps to reproduce: Start Cuteness App Tap some ListView item -> details page loaded Navigate back -> ListView is empty,0
175,15-05-18,Issue 175 : Implement weak-event pattern on ListView (when bound to observable) ， Issue #175 ， NativeScript/NativeScript ， GitHub A side effect to that is that sometimes the app crashes when navigating twice to a page with list-view bound to observable.,0
