id,date,report,security
3,13-07-17,Issue 3 : Bitmap recycling race ， Issue #3 ， bumptech/glide ， GitHub Bitmaps should be able to be marked pending for a specific view. Currently an ImageLoader can request an image  obtain it from the cache  and mark it not pending all before the original requester has responded to the image. This could cause the image to be added to the bitmap pool twice.,0
8,13-07-29,Issue 8 : Wrapped views must not use wrap_content ， Issue #8 ， bumptech/glide ， GitHub Glide will not start loading images for views whose layout_width and/or layout_height are set to wrap_content. Though most resize options don't really make sense with wrap_content  some do (like AsIs) so ImageLoaders should be able to handle those dimensions.,0
15,13-08-31,Issue 15 : DiskCache initialization is wrong ， Issue #15 ， bumptech/glide ， GitHub The DiskLruCache is initialized and then the DiskCacheAdapter overrides the instance.,0
16,13-08-31,Issue 16 : errorResourceId should be tested with 0 not -1 ， Issue #16 ， bumptech/glide ， GitHub A small fix can be found here: motain/android-Glide@0e2916a,0
17,13-09-03,Issue 17 : Crashes when matchparent/wrapcontent ， Issue #17 ， bumptech/glide ， GitHub when imageview width is match_parent imageview height is wrap_content then the imageview fails to load the image and crashes when we give .into(ImageView),0
19,13-09-04,Issue 19 : IllegalArgumentException in BitmapFactory.decodeStream ， Issue #19 ， bumptech/glide ， GitHub In some rare situations the BitmapFactory can throw a IllegalArgumentException when ever the opts.inBitmap is not null and the native part of the decoder returns a null. My impression is that either there is a rare problem with the bitmap pool (wrong dimensions or no more space available) or the image might have a different config (png vs gif for instance will break). java.lang.IllegalArgumentException: Problem decoding into existing bitmap     at android.graphics.BitmapFactory.decodeStream(BitmapFactory.java:540)     at com.bumptech.glide.resize.load.Downsampler.decodeStream(Downsampler.java:165)     at com.bumptech.glide.resize.load.Downsampler.downsampleWithSize(Downsampler.java:114)     at com.bumptech.glide.resize.ImageManager$1.downsample(ImageManager.java:80)     at com.bumptech.glide.resize.load.ImageResizer.load(ImageResizer.java:111)     at com.bumptech.glide.resize.load.ImageResizer.load(ImageResizer.java:99)     at com.bumptech.glide.resize.ImageManager$ImageManagerRunner.getFromDiskCache(ImageManager.java:540)     at com.bumptech.glide.resize.ImageManager$ImageManagerRunner.run(ImageManager.java:523)     at android.os.Handler.handleCallback(Handler.java:730)     at android.os.Handler.dispatchMessage(Handler.java:92)     at android.os.Looper.loop(Looper.java:137)     at android.os.HandlerThread.run(HandlerThread.java:61)   Patch here: motain/android-Glide@0c8659e,1
20,13-09-04,Issue 20 : Disk cache images as-is ， Issue #20 ， bumptech/glide ， GitHub When images are written to disk looks like they are compressed to jpeg. Am I missing anything? Is there any way to save images as-is? From my download I am getting few transparent png's which appear with darkened in place of transparent image.,0
22,13-09-11,Issue 22 : Out of memory error ， Issue #22 ， bumptech/glide ， GitHub The code on my application class is below. public void setImageManager(){     final Glide glide = Glide.get();     if (!glide.isImageManagerSet()) {         File cacheDir = ImageManager.getPhotoCacheDir(this  CACHE_NAME);         DiskCache diskCache;         try {             diskCache = DiskLruCacheWrapper.get(cacheDir  50 * 1024 * 1024);         } catch (IOException e) {             e.printStackTrace();             diskCache = new DiskCacheAdapter();         }           ImageManager.Builder builder = new ImageManager.Builder(this);         builder.decodeBitmapOptions.inPreferredConfig = Bitmap.Config.ARGB_8888;         builder.setBitmapCompressFormat(CompressFormat.PNG);         builder.setDiskCache(diskCache);         glide.setImageManager(builder);     } } The below is my stacktrace. 09-11 16:57:06.589: E/dalvikvm-heap(14859): Out of memory on a 614860-byte allocation. 09-11 16:57:06.589: I/dalvikvm(14859): "Thread-7971" prio=5 tid=16 RUNNABLE 09-11 16:57:06.589: I/dalvikvm(14859):   | group="main" sCount=0 dsCount=0 obj=0x41806198 self=0x18281d0 09-11 16:57:06.589: I/dalvikvm(14859):   | sysTid=14940 nice=10 sched=0/0 cgrp=bg_non_interactive handle=25318736 09-11 16:57:06.599: I/dalvikvm(14859):   | schedstat=( 1411041240 6718078644 17923 ) utm=104 stm=37 core=0 09-11 16:57:06.709: I/dalvikvm(14859):   at java.io.ByteArrayOutputStream.toByteArray(ByteArrayOutputStream.java:~122) 09-11 16:57:06.849: I/dalvikvm(14859):   at com.android.volley.toolbox.BasicNetwork.entityToBytes(BasicNetwork.java:215) 09-11 16:57:06.859: I/dalvikvm(14859):   at com.android.volley.toolbox.BasicNetwork.performRequest(BasicNetwork.java:104) 09-11 16:57:06.869: I/dalvikvm(14859):   at com.android.volley.NetworkDispatcher.run(NetworkDispatcher.java:105) 09-11 16:57:07.119: E/AndroidRuntime(14859): FATAL EXCEPTION: Thread-7971 09-11 16:57:07.119: E/AndroidRuntime(14859): java.lang.OutOfMemoryError 09-11 16:57:07.119: E/AndroidRuntime(14859):     at java.io.ByteArrayOutputStream.toByteArray(ByteArrayOutputStream.java:122) 09-11 16:57:07.119: E/AndroidRuntime(14859):    at com.android.volley.toolbox.BasicNetwork.entityToBytes(BasicNetwork.java:215) 09-11 16:57:07.119: E/AndroidRuntime(14859):    at com.android.volley.toolbox.BasicNetwork.performRequest(BasicNetwork.java:104) 09-11 16:57:07.119: E/AndroidRuntime(14859):    at com.android.volley.NetworkDispatcher.run(NetworkDispatcher.java:105),1
23,13-09-26,Issue 23 : Getting IllegalArgument exception several times ， Issue #23 ， bumptech/glide ， GitHub When I scroll the listview (with a 4 images in a row) up and down for a while it throws me this error. 09-26 14:32:31.233: E/AndroidRuntime(15158): FATAL EXCEPTION: bg_thread 09-26 14:32:31.233: E/AndroidRuntime(15158): java.lang.IllegalArgumentException: Problem decoding into existing bitmap 09-26 14:32:31.233: E/AndroidRuntime(15158):    at android.graphics.BitmapFactory.decodeStream(BitmapFactory.java:502) 09-26 14:32:31.233: E/AndroidRuntime(15158):    at com.bumptech.glide.resize.load.Downsampler.decodeStream(Downsampler.java:182) 09-26 14:32:31.233: E/AndroidRuntime(15158):    at com.bumptech.glide.resize.load.Downsampler.downsampleWithSize(Downsampler.java:114) 09-26 14:32:31.233: E/AndroidRuntime(15158):    at com.bumptech.glide.resize.ImageManager$1.downsample(ImageManager.java:78) 09-26 14:32:31.233: E/AndroidRuntime(15158):    at com.bumptech.glide.resize.load.ImageResizer.load(ImageResizer.java:113) 09-26 14:32:31.233: E/AndroidRuntime(15158):    at com.bumptech.glide.resize.load.ImageResizer.load(ImageResizer.java:101) 09-26 14:32:31.233: E/AndroidRuntime(15158):    at com.bumptech.glide.resize.ImageManager$ImageManagerRunner.getFromDiskCache(ImageManager.java:527) 09-26 14:32:31.233: E/AndroidRuntime(15158):    at com.bumptech.glide.resize.ImageManager$ImageManagerRunner.run(ImageManager.java:510) 09-26 14:32:31.233: E/AndroidRuntime(15158):    at android.os.Handler.handleCallback(Handler.java:605) 09-26 14:32:31.233: E/AndroidRuntime(15158):    at android.os.Handler.dispatchMessage(Handler.java:92) 09-26 14:32:31.233: E/AndroidRuntime(15158):    at android.os.Looper.loop(Looper.java:137) 09-26 14:32:31.233: E/AndroidRuntime(15158):    at android.os.HandlerThread.run(HandlerThread.java:60),1
27,13-10-13,Issue 27 : Possible disc cache key conflict - Wrong image returned ， Issue #27 ， bumptech/glide ， GitHub I'm using Glide to load a lot of images and I'm getting sometimes a user profile picture instead of a country flag. Even after killing the process it is repetitive on the same page. I already saw this situation 2/3 times so my guess is that there should be a clash in the generator of the disc cache key.,0
