id,date,report,security
174,15-04-03,Issue 174 : saves .png images from ITC as .jpg ， Issue #174 ， fastlane/fastlane ， GitHub When i am trying to use fastlane deploy  i get the following error for all images  that where previously downloaded automatically from ITC: ERROR ITMS-9001: "/2fe65325869b498dd8d6975b571f9e42.jpg does not match type JPEG Image because of these validation issues: ; Error=com.apple.jingle.leghorn.fileformat.ValidationError@4f521bee[userString=This file does not start with a start of image marker.]" at Software/SoftwareMetadata/SoftwareVersion/SoftwareVersionLanguageDetail ... Transporter transfer failed. After taking a closer look at the mentioned files  i saw that the .jpg files are PNG files. So why are they stored with the wrong extension in the fastlane/[AppleID].itmsp?,0
329,15-06-04,Issue 329 : fastlane cannot update project version ， Issue #329 ， fastlane/fastlane ， GitHub I tried both set_build_number_repository and increment_version_number and receive this error: [22:01:18]: [SHELL]: Updating CFBundleVersion in Info.plist(s)... [22:01:18]: [SHELL]: [22:01:18]: [SHELL]: $(SRCROOT)/ProjectName/Supporting Files/Info.plist [22:01:18]: [SHELL]: Cannot find "$(SRCROOT)/ProjectName/Supporting Files/Info.plist" [22:01:18]: [SHELL]: Updated CFBundleVersion in "ProjectName.xcodeproj/../ProjectName Tests/Info.plist" to 55e9c3d  Of course I have plist file on the specified path (./ProjectName/Supporting Files/Info.plist). Do you have any idea what causing this issue? I can provide additional info if needed  or try to reproduce this issue on demo project,0
409,15-07-13,Issue 409 : [Hockey] doesn't return the proper download link ， Issue #409 ， fastlane/fastlane ， GitHub Both Actions.lane_context[Actions::SharedValues::HOCKEY_DOWNLOAD_LINK] and Actions.lane_context[Actions::SharedValues::HOCKEY_BUILD_INFORMATION]['public_url'] return a download link of a previously submitted build. All other info appears to be correct.,0
508,15-08-17,Issue 508 : Cannot have access to cross-platform lanes ， Issue #508 ， fastlane/fastlane ， GitHub I have set up some cross-platform (aka general) lanes  but I cannot call them. If I call fastlane general_lane I have this error: Could not find lane 'ios general_lane'. Available lanes: ios platform_lane  general_lane If I call fastlane it only prompts me for the ios lane: You must provide a lane to drive. Available lanes: 1) ios platform_lane  And the lane platform_lane can be called using fastlane platform_lane with no error. Here is the Fastfile used in the examples above fastlane_version "1.11.0"  default_platform :ios  platform :ios do    before_all do |lane|   end    desc "Do nothing"   lane :platform_lane do   end    after_all do |lane|     # This block is called  only if the executed lane was successful   end    error do |lane  exception|   end  end  desc "General lane." lane :general_lane do end,0
519,15-08-20,Issue 519 : Generated .ipa size too big ， Issue #519 ， fastlane/fastlane ， GitHub Using Xcode 7 Beta 5  Swift 2.0 and fastlane 1.19.0 our generated .ipa file size has increased from 9.8 MB to 60 MB. Picking the archive produced by fastlane in Xcode Organizer and exporting for enterprise deployment the target .ipa file has the expected size of 9.8 MB. After inspecting the small and big ipa it turns out that the big one has duplicated dylib files ./Payload/Client.app/Frameworks/libswiftCore.dylib ./Payload/Client.app/Frameworks/libswiftCoreAudio.dylib ./Payload/Client.app/Frameworks/libswiftCoreGraphics.dylib ./Payload/Client.app/Frameworks/libswiftCoreImage.dylib ./Payload/Client.app/Frameworks/libswiftDarwin.dylib ./Payload/Client.app/Frameworks/libswiftDispatch.dylib ./Payload/Client.app/Frameworks/libswiftFoundation.dylib ./Payload/Client.app/Frameworks/libswiftObjectiveC.dylib ./Payload/Client.app/Frameworks/libswiftSecurity.dylib ./Payload/Client.app/Frameworks/libswiftUIKit.dylib ./SwiftSupport/libswiftCore.dylib ./SwiftSupport/libswiftCoreAudio.dylib ./SwiftSupport/libswiftCoreGraphics.dylib ./SwiftSupport/libswiftCoreImage.dylib ./SwiftSupport/libswiftDarwin.dylib ./SwiftSupport/libswiftDispatch.dylib ./SwiftSupport/libswiftFoundation.dylib ./SwiftSupport/libswiftObjectiveC.dylib ./SwiftSupport/libswiftSecurity.dylib ./SwiftSupport/libswiftUIKit.dylib  (this is taken from here: http://stackoverflow.com/questions/30602808/how-to-prevent-swiftsupport-libraries-to-be-included-twice) From the fastlane log: [14:51:45]: Successfully stored the archive. You can find it in the Xcode Organizer. [14:51:45]: /usr/bin/xcrun /tmp/PackageApplication4Gym -v '/Users/orschaef/Library/Developer/Xcode/Archives/2015-08-20/example 2015-08-20 14.49.32.xcarchive/Products/Applications/example.app' -o '/Users/orschaef/Library/Developer/Xcode/Archives/2015-08-20/example.ipa' exportFormat ipa --embed 'example.mobileprovision'  [14:51:50]: zip --recurse-paths /Users/orschaef/Library/Developer/Xcode/Archives/2015-08-20/example.ipa SwiftSupport > /dev/null [14:51:53]: cd '/Users/orschaef/Library/Developer/Xcode/Archives/2015-08-20/example 2015-08-20 14.49.32.xcarchive/dSYMs' && zip -r '/Users/orschaef/workspace/example/example.app.dSYM.zip' 'example.app.dSYM'  Could the following line  ... SwiftSupport > /dev/null ...  be part of the problem? This does not seem to be a fastlane only problem (but for us it does only appear in combination with fastlane). Maybe we can find the solution and also update the docs like @KrauseFx did for KrauseFx#258,0
815,15-11-09,Issue 815 : Crash  when app is not created. ， Issue #815 ， fastlane/fastlane ， GitHub Since produce it's part of fastlane - it logcal  that fatlane should try to create app  if there is no exist yet in itunes connect. Error: 12826a1d7e6a09a48f5d3bb95066f588,0
826,15-11-11,Issue 826 : What is the proper way to call an action from another action? ， Issue #826 ， fastlane/fastlane ， GitHub Building up some custom action that depend on others  and can't quite figure out the best way.,0
976,15-12-10,Issue 976 : Fastlane on Jenkins always fails ， Issue #976 ， fastlane/fastlane ， GitHub I have lane which runs ok locally on my build machine. But when I run this lane on the same machine with Jenkins  it always ends with this codesign error: ... ?[37m[00:09:48]: ?[0m?[32m--------------------------------------?[0m ?[37m[00:09:48]: ?[0m?[32m--- ?[0m?[32mStep: Switch to ios build lane?[0m?[32m ---?[0m ?[37m[00:09:48]: ?[0m?[32m--------------------------------------?[0m ?[37m[00:09:48]: ?[0m?[32mCruising over to lane 'ios build' ??[0m ?[37m[00:09:48]: ?[0m?[32m-----------------?[0m ?[37m[00:09:48]: ?[0m?[32m--- ?[0m?[32mStep: gym?[0m?[32m ---?[0m ?[37m[00:09:48]: ?[0m?[32m-----------------?[0m ?[37m[00:09:48]: ?[0m?[33mxcrun xcodebuild -list -project './Business.xcodeproj'?[0m ?[37m[00:09:50]: ?[0m?[33mxcrun xcodebuild -showBuildSettings -scheme 'Business Sit1-Release' -project './Business.xcodeproj'?[0m  +-----------------+------------------------+ |          ?[32mSummary for gym 1.2.0?[0m           | +-----------------+------------------------+ | project         | ./Business.xcodeproj   | | scheme          | Business Sit1-Release  | | output_name     | kbb_1.1.0_Sit1-Release | | configuration   | Sit1-Release           | | include_symbols | false                  | | include_bitcode | false                  | | export_method   | enterprise             | | destination     | generic/platform=iOS   | +-----------------+------------------------+  [00:09:53]: ?[4m?[36m$ set -o pipefail && xcodebuild -scheme 'Business Sit1-Release' -project './Business.xcodeproj' -configuration 'Sit1-Release' -destination 'generic/platform=iOS' -archivePath '/Users/hudson/Library/Developer/Xcode/Archives/2015-12-13/kbb_1.1.0_Sit1-Release 2015-12-13 00.09.53.xcarchive' archive CODE_SIGN_IDENTITY='iPhone Distribution: Some Company' | tee '/Users/hudson/Library/Logs/gym/Business-Business Sit1-Release.log' | xcpretty?[0m?[0m [00:09:53]: ?[35m> sh: xcpretty: command not found?[0m [00:13:48]: ?[35m> ** ARCHIVE FAILED **?[0m [00:13:48]: ?[35m> The following build commands failed:?[0m [00:13:48]: ?[35m> CodeSign /Users/hudson/Library/Developer/Xcode/DerivedData/Business-hflauwwfykbdgkbfefcfjwrcqick/Build/Intermediates/ArchiveIntermediates/Business\ Sit1-Release/IntermediateBuildFilesPath/UninstalledProducts/iphoneos/Shared.framework?[0m [00:13:48]: ?[35m> (1 failure)?[0m sh: xcpretty: command not found ** ARCHIVE FAILED **   The following build commands failed: CodeSign /Users/hudson/Library/Developer/Xcode/DerivedData/Business-hflauwwfykbdgkbfefcfjwrcqick/Build/Intermediates/ArchiveIntermediates/Business\ Sit1-Release/IntermediateBuildFilesPath/UninstalledProducts/iphoneos/Shared.framework (1 failure) [00:13:48]: ?[31mExit status: 127?[0m ?[37m[00:13:49]: ?[0m?[33mVariable Dump:?[0m ?[37m[00:13:49]: ?[0m{:DEFAULT_PLATFORM=>:ios  :PLATFORM_NAME=>:ios  :LANE_NAME=>"ios business_jenkins"  :GIT_REPO_WAS_CLEAN_ON_START=>true  :VERSION_NUMBER=>"1.1.0"} ?[1m?[31m[00:13:49]: ?[0m?[0m?[31mError building the application - see the log above?[0m  +------+--------------------------------------------------+-------------+ |                           ?[32mfastlane summary?[0m                            | +------+--------------------------------------------------+-------------+ | Step | Action                                           | Time (in s) | +------+--------------------------------------------------+-------------+ | 1    | Verifying required fastlane version              | 0           | | 2    | default_platform                                 | 0           | | 3    | ensure_git_status_clean                          | 0           | | 4    | rm -rf ../Carthage                               | 0           | | 5    | /usr/local/bin/carthage update .. --platform ios | 381         | | 6    | Switch to ios release_server lane                | 0           | | 7    | increment_version_number                         | 3           | | 8    | Switch to ios build lane                         | 0           | | 9    | gym                                              | 240         | +------+--------------------------------------------------+-------------+  ?[1m?[31m[00:13:50]: ?[0m?[0m?[31mfastlane finished with errors?[0m ?[33mSuccessfully submitted a crash report. If this is a problem with one of the tools specifically ?[0m ?[33mplease submit an issue on GitHub and attach the following number to it: 'a0ef0aa1a1dbd697da0c9ed248f37012'?[0m ?[33mThe crash report has been stored locally '/tmp/sentry_a0ef0aa1a1dbd697da0c9ed248f37012.json'?[0m Build step 'Execute shell' marked build as failure  EDIT: After investigation I know where the problem is. It's the xcpretty command which has different path on Jenkins and therefore can't be run. If I take raw command  set -o pipefail && xcodebuild -scheme 'Business Sit1-Release' -project './Business.xcodeproj' -configuration 'Sit1-Release' -destination 'generic/platform=iOS' -archivePath '/Users/hudson/Library/Developer/Xcode/Archives/2015-12-13/kbb_1.1.0_Sit1-Release 2015-12-13 00.09.53.xcarchive' archive CODE_SIGN_IDENTITY='iPhone Distribution: Some Company' | tee '/Users/hudson/Library/Logs/gym/Business-Business Sit1-Release.log' | xcpretty  and I remove the last xcpretty part  Jenkins builds everything ok. So I don't know if this can be fixed in fastlane. The new suppress_xcode_output option still calls xcpretty command - it doesn't help me.,0
1033,15-12-28,Issue 1033 : :git_branch always returns "HEAD" on Gitlab CI ， Issue #1033 ， fastlane/fastlane ， GitHub :git_branch always returns HEAD on Gitlab CI in Fastfile,0
1039,15-12-29,Issue 1039 : Git Last Tag on a shallow clone ， Issue #1039 ， fastlane/fastlane ， GitHub I have a question about working with the git_last_tag command on a shallow clone. I'm using bamboo as my CI server and fastlane. Bamboo (by default) does a shallow clone which doesn't seem to be pulling tags correctly. I follow that up with a git fetch --tags which then pulls in the tags. I've noticed in git_helper.rb it looks like the last_tag command is doing git describe --tags --abbrev=0 def self.last_git_tag_name(match_lightweight = true)   command = ['git describe']   command << '--tags' if match_lightweight   command << '--abbrev=0'   Actions.sh(command.join(' ')  log: false).chomp  rescue   nil  end  This doesn't seem to be working correctly whereas the command: git describe --tags `git rev-list --tags --max-count=1`  does pull the last tag correctly. Should the code be updated to mirror this behavior? I guess i'm a little clear what "last_tag" means.,0
