id,date,report,security
38,14-09-01,Issue 38 : FrameworkSampleSource fails to stop buffering and start playback ， Issue #38 ， google/ExoPlayer ， GitHub I'm having issues when i'm trying to play an MP4 but at a non-zero offset. I'm allowing the user to "Resume" their video where they last stopped playing  but occasionally (maybe 1 in 3)  ExoPlayer refuses to start playback. I don't think I am doing anything unusual when configuring the player  e.g.     m_player.prepare(renderers);     m_player.seekTo(m_offset); I can see from logging in the onPlayerStateChanged callback  that the video player goes through the following states: STATE_IDLE  STATE_PREPARING and STATE_BUFFERING. It then remains in the buffering state indefinitely. The issue appears to be effected by the fact i'm trying to seek in the video. I'm yet to have it fail when starting the video at the beginning. Is this a known issue? Are there any workarounds to ensure that playback always begins?,0
51,14-09-18,Issue 51 : ExoPlayer takes too much time to stop/release while in state other than STATE_READY ， Issue #51 ， google/ExoPlayer ， GitHub Hi  After calling setPlayWhenReady(true)  the ExoPlayer goes through many states. But before it reaches the ready state (STATE_READY)  if "stop" gets called on the current ExoPlayer object  it takes too much (5-6 seconds) to release the resources and this could hang the app. (In case play and stop buttons are dependent on ExoPlayer state.) In the exact same scenario  MediaPlayer does update the states immediately. Any efficient way to handle this scenario. Thanks  Khushwant Singh,0
58,14-10-01,Issue 58 : H.264 codec with SurfaceView vs TextureView on certain KitKat devices ， Issue #58 ， google/ExoPlayer ， GitHub On certain KitKat devices I am seeing weird video artifacts when using ExoPlayer to render H.264 with a TextureView. I have a previous implementation of my rendering pipeline that used MediaCodec directly and it does not exhibit this issue. Also using ExoPlayer with SurfaceView does not exhibit this issue. Also  I've only observed this on certain KitKat devices (see table below). Screenshot of ExoPlayer with TextureView showing issue: Screenshot of expected good video: Here's a test matrix showing when issue occurs. FAIL means the video artifacts are seen. Device Android Ver. ExoPlayer or MediaCodec View Type PASS/FAIL Samsung S4 4.4.2 ExoPlayer TextureView FAIL Samsung S3 4.4.2 ExoPlayer TextureView FAIL Samsung S4 4.4.2 ExoPlayer SurfaceView Pass Samsung S3 4.4.2 ExoPlayer SurfaceView Pass Samsung S4 4.4.2 MediaCodec TextureView Pass Samsung S3 4.4.2 MediaCodec TextureView Pass Nexus 5 4.4.4 ExoPlayer SurfaceView Pass Nexus 5 4.4.4 ExoPlayer TextureView Pass Nexus 5 4.4.4 MediaCodec SurfaceView Pass Nexus 5 4.4.4 MediaCodec TextureView Pass,0
59,14-10-02,Issue 59 : Player crashes when capabilities do not match the MPD file. ， Issue #59 ， google/ExoPlayer ， GitHub In DashVodRendererBuilder onManifest if none of the adaptation sets have video that matches the capability of the device  such as android emulator  the player crashes. This is due to no check on empty ArrayList videoRepresentationsList before converting to array. This occurs when the array is accessed at line 167 of DashVodRendererBuilder.java (dev branch) String mimeType = videoRepresentations[0].format.mimeType;,0
61,14-10-02,Issue 61 : SmoothStreaming Live - Avoid stuck-in-buffering when sparse TTML subtitles are enabled ， Issue #61 ， google/ExoPlayer ， GitHub As per title. This only happens when (a) TTML subtitles are delivered in the live stream  (b) they are sparse  and (c) they are enabled.,0
72,14-10-07,Issue 72 : Dizzy audio issue when paired to BT speaker ， Issue #72 ， google/ExoPlayer ， GitHub Dizzy demo will not play when paired to a BT speaker. The demo will play when the Audio track render has been removed or the BT speaker is disconnected. The Dash and SmoothStreaming examples playback without issue. Devices experiencing issues: Nexus 10 - 4.4.4 Nexus 5 - L Speaker: Jawbone Jambox bt-rfcomm  E  PORT_DataInd  p_port:0x757fc874  p_data_co_callback is null                         E  PORT_DataInd  p_port:0x757fc874  p_data_co_callback is null                         E  PORT_DataInd  p_port:0x757fc874  p_data_co_callback is null                bt-btif  W  dm_pm_timer expires                         W  dm_pm_timer expires 0                         W  proc dm_pm_timer expires              bt-rfcomm  E  PORT_DataInd  p_port:0x757fc874  p_data_co_callback is null                bt-btif  W  bta_dm_rm_cback:1  status:7               dalvikvm  D  GC_FOR_ALLOC freed 978K  77% free 6270K/27240K  paused 15ms  total 15ms                         D  GC_FOR_ALLOC freed 1351K  79% free 5984K/27240K  paused 11ms  total 11ms          ExoPlayerImpl  I  Init 1.0.13            mali_winsys  D  new_window_surface returns 0x3000                bt-btif  E  bta_av_link_role_ok hndl:x41 role:1  conn_audio:x1  bits:1  features:x824b                         W  bta_dm_rm_cback:1  status:0                         W  bta_dm_rm_cback:1  status:7 luetoothA2dpServiceJni  I  bta2dp_audio_state_callback                bt-btif  W  pcm bytes per tick 3528       A2dpStateMachine  D  Connected process message: 101                  Avrcp  V  MESSAGE_SET_A2DP_AUDIO_STATE:10                         V  updatePlayPauseState  old=2  state=3                         V  position=706253       A2dpStateMachine  D  A2DP Playing state : device: 00:21:3C:82:7B:A9 State:11->10              OMXClient  I  Using client-side OMX mux.                         I  Using client-side OMX mux. erarchicalStateMachine  W  Warning message AMessage(what = 'omx '  target = 111) = {                         W    int32_t type = 0                         W    void *node = 0x1f                         W    int32_t event = 3                         W    int32_t data1 = 1                         W    int32_t data2 = 117440527                         W  } unhandled in root state.               SoftAAC2  I  Reconfiguring decoder: 0->44100 Hz  0->2 channels                bt-btif  E  bta_av_str_stopped:audio_open_cnt=1  p_data 75658eb4                         W  bta_dm_rm_cback:1  status:6                         W  bta_dm_rm_cback:1  status:6 luetoothA2dpServiceJni  I  bta2dp_audio_state_callback                bt-btif  W  pcm bytes per tick 3528       A2dpStateMachine  D  Connected process message: 101                  Avrcp  V  MESSAGE_SET_A2DP_AUDIO_STATE:11                         V  updatePlayPauseState  old=3  state=2                         V  position=709400                         V  position=709400       A2dpStateMachine  D  A2DP Playing state : device: 00:21:3C:82:7B:A9 State:10->11        NuCachedSource2  I  ERROR_END_OF_STREAM                bt-btif  W  dm_pm_timer expires                         W  dm_pm_timer expires 0                         W  proc dm_pm_timer expires,0
91,14-10-27,Issue 91 : Rotation issue ， Issue #91 ， google/ExoPlayer ， GitHub record a video in portrait using native android camcorder (nexus 4) play it using native player. Rotation is correct play it using demo app (SimplePlayerActivity). Video is rotated. Example of the test video: https://drive.google.com/file/d/0B9_5dr6in8cWcmlGZlJrSlhHS1U/view?usp=sharing Metadata of the mp4 contains a property: Rotation : 90‘ but it's ignored by the exo player.,0
108,14-11-01,Issue 108 : default @startNumber DASH MPD attribute value is 1  not 0 ， Issue #108 ， google/ExoPlayer ， GitHub Here's a small diff that fixes that. diff --git a/library/src/main/java/com/google/android/exoplayer/dash/mpd/MediaPresentationDescriptionParser.java b/library/src/main/java/com/google/android/exoplayer/dash/mpd/MediaPresentationDescriptionParser.java index 0011c5d..b144c93 100644 --- a/library/src/main/java/com/google/android/exoplayer/dash/mpd/MediaPresentationDescriptionParser.java +++ b/library/src/main/java/com/google/android/exoplayer/dash/mpd/MediaPresentationDescriptionParser.java @@ -325 7 +325 7 @@ public class MediaPresentationDescriptionParser extends DefaultHandler {      long presentationTimeOffset = parseLong(xpp  "presentationTimeOffset"           parent != null ? parent.presentationTimeOffset : 0);      long duration = parseLong(xpp  "duration"  parent != null ? parent.duration : -1); -    int startNumber = parseInt(xpp  "startNumber"  parent != null ? parent.startNumber : 0); +    int startNumber = parseInt(xpp  "startNumber"  parent != null ? parent.startNumber : 1);        RangedUri initialization = null;      List timeline = null; @@ -362 7 +362 7 @@ public class MediaPresentationDescriptionParser extends DefaultHandler {      long presentationTimeOffset = parseLong(xpp  "presentationTimeOffset"           parent != null ? parent.presentationTimeOffset : 0);      long duration = parseLong(xpp  "duration"  parent != null ? parent.duration : -1); -    int startNumber = parseInt(xpp  "startNumber"  parent != null ? parent.startNumber : 0); +    int startNumber = parseInt(xpp  "startNumber"  parent != null ? parent.startNumber : 1);      UrlTemplate mediaTemplate = parseUrlTemplate(xpp  "media"           parent != null ? parent.mediaTemplate : null);      UrlTemplate initializationTemplate = parseUrlTemplate(xpp  "initialization" ,0
116,14-11-04,Issue 116 : Connection issues with GoPro camera ， Issue #116 ， google/ExoPlayer ， GitHub Hello  I am trying to get ExoPlayer to work with GoPro camera through wifi connection. IP address for cameras .m3u8 file is "http://10.5.5.9:8080/live/amba.m3u8". With standard Android MediaPlayer this seems to work (altough MediaPlayer itself does not support streaming properly and stutters all the time). When trying to connect to that same address with ExoPlayer  I get lots of different errors that all seem to point malformed URL. 11-04 14:10:10.431: E/ExoPlayerImplInternal(23881): Internal track renderer error. 11-04 14:10:10.431: E/ExoPlayerImplInternal(23881): com.google.android.exoplayer.ExoPlaybackException: com.google.android.exoplayer.upstream.HttpDataSource$InvalidResponseCodeException: Response code: 400 and sometimes 11-04 14:12:18.484: E/ExoPlayerImplInternal(23881): com.google.android.exoplayer.ExoPlaybackException: com.google.android.exoplayer.upstream.HttpDataSource$HttpDataSourceException: Unable to connect to ??0??????8v=??%????B?-?R? ???8?r??y?hB?N#2??I?CJ ?n???U]?Mu????lI?r?<Y?d????z???????v6??j?a??'?X???bh??wYB<Uc?nW????)??X?H???????????????????????????????????????????????????????????????????????G@??????????????????????????????#Z?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????GA???????5??????????? ??HDMV?????????????HDMV??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????G?? ?????7~$????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????GQ??????????g???!5?????q??L?+???!??m:?A?0?/|??z??zI?R??WI???????3?????cm??????|??M?j?Hz'?q??5????E???{???????i#h?k?3?T\??|zl? Sample I use to provide player correct IP is following: new Sample("Apple master playlist (HLS)"  "uid:hls:applemaster"  "http://10.5.5.9:8080/live/" + "amba.m3u8"   DemoUtil.TYPE_HLS_MASTER  false  false) My hazard guess would be that URL parser does not like port definitions. new Sample("Apple master playlist (HLS)"  "uid:hls:applemaster"  "https://devimages.apple.com.edgekey.net/streaming/examples/bipbop_4x3/" "bipbop_4x3_variant.m3u8"  DemoUtil.TYPE_HLS_MASTER  false  false) When connected to internet  this sample seems to be working fine so problem is not in player. Any thoughts?,0
118,14-11-05,Issue 118 : HLS ADTS/AAC parsing/decoding issue ， Issue #118 ， google/ExoPlayer ， GitHub ExoPlayer fails to play this big buck bunny stream from akamai http://googleimadev-vh.akamaihd.net/i/big_buck_bunny/bbb- 480p 720p 1080p .mov.csmil/master.m3u8 Current implementation assumes that one ADTS frame has exactly one AAC frame inside. In this specific stream ADTS frames have sometimes 0 and sometimes more then 1 AAC frame inside. How typical is this stream? Has anybody else seen similar issues?,0
