id,date,report,security
484,14-10-19,Issue 484 : toString implementation ， Issue #484 ， realm/realm-java ， GitHub Hi  There is an error of toString implementation: Method threw 'java.lang.StackOverflowError' exception. Cannot evaluate io.realm.AdvertisementRealmProxy.toString(),0
506,14-10-26,Issue 506 : Deleted items still present in query results ， Issue #506 ， realm/realm-java ， GitHub I've encountered a data consistency issue when deleting on a background thread from a different context. I have a list of items  and clicking on an item will open a secondary activity. If the item is deleted on a background thread on this secondary activity  it will still show on the list back in the first activity. The list data is reloaded inside onResume  and the list activity registers with realm for change events. Even if the data is reloaded explicitly  the deleted item is still present in the result set. The deleted item will only be removed from the result set if you either do a write operation (insert a new element into the list) or restart the app. Simply sending the app to the background and resuming it again doesn't solve the issue. The app needs to be force stopped and then restarted. Deleting the item from a background thread on the list activity will remove the item from the list. Deleting the item on the main thread from the secondary activity will also remove the item from the list. Deleting the item on a background thread on the secondary activity will not remove the item from the list. I've modified my sample realm project to replicate the issue: https://github.com/edubarr/RealmSample Once compiled  the app is named "Realm.io." It's very simple to reproduce the issue. Just click on Add Item menu option to add an item. Click on the item to open the secondary activity and click on the Delete! button. Once the secondary activity finishes  the first activity will still show the deleted item on the list. If you click on Add Item once again  the deleted item will be removed and a new item will be inserted on the list. The deleted item can also be removed by pushing the app to the background  swiping it away from the recent apps list and starting it over.,0
508,14-10-28,Issue 508 : Crash onRealmChange ， Issue #508 ， realm/realm-java ， GitHub Realm realm = Realm.getInstance(getActivity());     realm.addChangeListener(new RealmChangeListener() {         @Override         public void onChange() {             Realm.getInstance(getActivity());             Log.d(TAG  "data changes");         }     });  This will print infinity "data changes"  and crash. I think it's only a problem with the latest release.,0
515,14-10-30,Issue 515 : bug:Failed adding to JNI pinned array ref table (1024 entries) ， Issue #515 ， realm/realm-java ， GitHub I have a hashset named "localIds" which contains over 2000 integers  and i want to make a query to get all records from a big realm table which's field "localId" match the value in the hashset  and my code below: RealmQuery query = realm.where(RUser.class); query.equalTo("localId" 0); for (int localId : localIds) { query.or().equalTo("localId"  localId); } RealmResults results = query.findAll(); and when i run i got : 10-30 22:24:37.375 10539-10539/com.gxl.hbcloud W/dalvikvm? ReferenceTable overflow (max=1024) 10-30 22:24:37.375 10539-10539/com.gxl.hbcloud W/dalvikvm? JNI pinned array reference table (0x65646458) dump: 10-30 22:24:37.375 10539-10539/com.gxl.hbcloud W/dalvikvm? Last 10 entries (of 1024): 10-30 22:24:37.375 10539-10539/com.gxl.hbcloud W/dalvikvm? 1023: 0x43641d90 long[](1 elements) 10-30 22:24:37.375 10539-10539/com.gxl.hbcloud W/dalvikvm? 1022: 0x43641c20 long[](1 elements) 10-30 22:24:37.375 10539-10539/com.gxl.hbcloud W/dalvikvm? 1021: 0x43641ab0 long[](1 elements) 10-30 22:24:37.375 10539-10539/com.gxl.hbcloud W/dalvikvm? 1020: 0x43641940 long[](1 elements) 10-30 22:24:37.375 10539-10539/com.gxl.hbcloud W/dalvikvm? 1019: 0x436417d0 long[](1 elements) 10-30 22:24:37.375 10539-10539/com.gxl.hbcloud W/dalvikvm? 1018: 0x43641660 long[](1 elements) 10-30 22:24:37.375 10539-10539/com.gxl.hbcloud W/dalvikvm? 1017: 0x436414f0 long[](1 elements) 10-30 22:24:37.375 10539-10539/com.gxl.hbcloud W/dalvikvm? 1016: 0x43641380 long[](1 elements) 10-30 22:24:37.375 10539-10539/com.gxl.hbcloud W/dalvikvm? 1015: 0x43641210 long[](1 elements) 10-30 22:24:37.375 10539-10539/com.gxl.hbcloud W/dalvikvm? 1014: 0x436410a0 long[](1 elements) 10-30 22:24:37.375 10539-10539/com.gxl.hbcloud W/dalvikvm? Summary: 10-30 22:24:37.375 10539-10539/com.gxl.hbcloud W/dalvikvm? 1 of byte[](8192 elements) 10-30 22:24:37.375 10539-10539/com.gxl.hbcloud W/dalvikvm? 1023 of long[](1 elements) (1023 unique instances) 10-30 22:24:37.375 10539-10539/com.gxl.hbcloud E/dalvikvm? Failed adding to JNI pinned array ref table (1024 entries) 10-30 22:24:37.375 10539-10539/com.gxl.hbcloud I/dalvikvm? "main" prio=5 tid=1 RUNNABLE 10-30 22:24:37.375 10539-10539/com.gxl.hbcloud I/dalvikvm? | group="main" sCount=0 dsCount=0 obj=0x4161b508 self=0x41600918 10-30 22:24:37.375 10539-10539/com.gxl.hbcloud I/dalvikvm? | sysTid=10539 nice=0 sched=0/0 cgrp=apps handle=1075388208 10-30 22:24:37.375 10539-10539/com.gxl.hbcloud I/dalvikvm? | schedstat=( 6428502962 2160360510 29862 ) utm=521 stm=121 core=3 10-30 22:24:37.375 10539-10539/com.gxl.hbcloud I/dalvikvm? at io.realm.internal.Group.nativeHasTable(Native Method) i also tried NSPredicate with "in" condition in realm's iOS version  it's really fast and got no error. maybe in android version  JNI code have something not release.,0
529,14-11-04,Issue 529 : Sort() signal 11 on version 73 ， Issue #529 ， realm/realm-java ， GitHub Exactly like 72 with enough queries (Fixed now). Could it be similar buffer size problem at sort() side?,0
543,14-11-09,Issue 543 : Sorting RealmResults before adding to a RealmBaseAdapter eventually causes crash ， Issue #543 ， realm/realm-java ， GitHub I have an Activity with several ActionBar tabs  each containing a Fragment with a ListView. Previously  I had been using ArrayAdapters to hold the RealmObjects for display in the lists  and everything was working great. I would fetch the RealmResults  sort them  take a sublist  and add it to the adapter in an ArrayList  like so:         // get videos and add to adapter         Realm realm = Realm.getInstance(getActivity());         RealmResults<Video> results = mRealm.where(Video.class).findAll();         results = results.sort("position");         ArrayList<Video> videos = new ArrayList<Video>();         videos.addAll(results.subList(0  results.size() < 10 ? results.size() : 10));         mAdapter = new VideoAdapter(getActivity()  videos); With the release of 0.73  I've tried to switch my ListViews to using RealmBaseAdapter instead of ArrayAdapter:         // get stories for list adapter         Realm realm = Realm.getInstance(getActivity());         RealmResults<Video> results = realm.where(Video.class).findAll();         results = results.sort("position");         mAdapter = new VideoAdapter(getActivity()  android.R.id.list  results  true); This approach works initially  but I find that once I switch to another tab  my app crashes with the following error: A/libc? Fatal signal 11 (SIGSEGV) at 0x00000074 (code=1) Unfortunately I'm not sure exactly where it is in the switching to another tab that's triggering the crash  wether it's something to do with the suspension of the Video tab  or something in the initialization of the next tab (which is similarly a ListView backed by RealmObjects). However  if I comment out the sort line in this code  I don't get the crash:         // get stories for list adapter         Realm realm = Realm.getInstance(getActivity());         RealmResults<Video> results = realm.where(Video.class).findAll();         // no sorting == no SIGSEGV crash         // results = results.sort("position");         mAdapter = new VideoAdapter(getActivity()  android.R.id.list  results  true); This works fine all of the time  but my ListView isn't correctly sorted.,0
589,14-11-20,Issue 589 : Cyclic reference issue ， Issue #589 ， realm/realm-java ， GitHub It's similar to issue #484   but the exception also occurs in equals() and hashCode() methods. Do you have a quick fix for this crash?,0
594,14-11-21,Issue 594 : TableView cannot be cast to Table ， Issue #594 ， realm/realm-java ， GitHub Get this exception when trying to run a query on RealmResults. Happens after upgrading from 0.71.0 to 0.74.0. Code is as follows: RealmResults<Language> languages = mLanguageRepository.all(); mDefaultLanguage = languages.where().equalTo("code"  mDefaultLanguageCode).findFirst(); Stacktrace here: Caused by: java.lang.ClassCastException: io.realm.internal.TableView cannot be cast to io.realm.internal.Table        at io.realm.RealmQuery.getColumnIndices(RealmQuery.java:136)        at io.realm.RealmQuery.equalTo(RealmQuery.java:196)        at io.realm.RealmQuery.equalTo(RealmQuery.java:181),0
595,14-11-21,Issue 595 : removeFromRealm ArrayIndexOutOfBoundsException ， Issue #595 ， realm/realm-java ， GitHub I updated the version of realm java to 0.74 and the method removeFromRealm begin to throw the exception ArrayIndexOutOfBoundsException. The code is:         User result = realm.where(User.class)                 .equalTo("id"  user.getId()).findFirst();          if (result != null) {             try {                 realm.beginTransaction();                 result.removeFromRealm();                 realm.commitTransaction();             } catch (Exception e) {                 realm.cancelTransaction();             }         },0
601,14-11-22,Issue 601 : Dates before 1902 are stored incorrectly ， Issue #601 ， realm/realm-java ， GitHub I've written a test project here: https://github.com/decnorton/RealmDateTest/blob/master/app/src/main/java/com/decnorton/realmdatetest/MainActivity.java Example Logcat output: [testDate:1] Testing date: Thu Feb 01 17:43:07 GMT+00:00 1900 [testDate:1] Before commit: Mon Mar 10 00:11:24 GMT+00:00 2036 [testDate:1] After commit: Mon Mar 10 00:11:24 GMT+00:00 2036 ------------ [testDate:2] Testing date: Fri Feb 01 17:43:07 GMT+00:00 1901 [testDate:2] Before commit: Tue Mar 10 00:11:24 GMT+00:00 2037 [testDate:2] After commit: Tue Mar 10 00:11:24 GMT+00:00 2037 ------------ [testDate:3] Testing date: Sat Feb 01 17:43:07 GMT+00:00 1902 [testDate:3] Before commit: Sat Feb 01 17:43:08 GMT+00:00 1902 [testDate:3] After commit: Sat Feb 01 17:43:08 GMT+00:00 1902 ------------ [testDate:4] Testing date: Sun Feb 01 17:43:07 GMT+00:00 1903 [testDate:4] Before commit: Sun Feb 01 17:43:08 GMT+00:00 1903 [testDate:4] After commit: Sun Feb 01 17:43:08 GMT+00:00 1903 ------------ [testDate:5] Testing date: Mon Feb 01 17:43:07 GMT+00:00 1904 [testDate:5] Before commit: Mon Feb 01 17:43:08 GMT+00:00 1904 [testDate:5] After commit: Mon Feb 01 17:43:08 GMT+00:00 1904 ------------ [testDate:6] Testing date: Wed Feb 01 17:43:07 GMT+00:00 1905 [testDate:6] Before commit: Wed Feb 01 17:43:08 GMT+00:00 1905 [testDate:6] After commit: Wed Feb 01 17:43:08 GMT+00:00 1905 ------------ [testDate:7] Testing date: Tue Feb 01 17:43:07 GMT+00:00 1910 [testDate:7] Before commit: Tue Feb 01 17:43:08 GMT+00:00 1910 [testDate:7] After commit: Tue Feb 01 17:43:08 GMT+00:00 1910  Notice the year for 1901 is saved as 2036.,0
