번호,합병,해결안제시,SBR유무,Comment,,
174,,,x,,329,0
329,,,x,,409,1
409,,,x,체계화가 필요할듯,508,1
508,,,x,,519,1
519,,,x,,815,1
815,,,x,,826,1
826,,,x,,976,1
976,,,x,,1033,1
1033,,,x,,1039,1
1039,,,x,,1065,1
1065,,,x,,1164,1
1164,,,x,,1262,1
1262,,,x,,1277,1
1277,,,x,,1317,1
1317,,,x,,1348,1
1348,,,x,,1422,1
1422,,,x,,1424,1
1424,,,x,,1429,1
1429,,,x,,1433,1
1433,,,x,,1442,1
1442,,,x,,1448,1
1448,,,x,,1460,1
1460,,,x,,1463,1
1463,,,x,,1503,1
1503,,,o,password,1504,1
1504,,,x,,1522,1
1522,,,x,,1526,1
1526,,,x,,1543,1
1543,,,x,,1568,1
1568,,,x,,1573,1
1573,,,x,,1600,1
1600,,,o,password,1626,1
1626,,,x,,1647,1
1647,,,x,,1655,1
1655,,,x,,1679,1
1679,,,x,,1712,1
1712,,,x,,1714,1
1714,,,x,,1719,1
1719,,,x,,1759,1
1759,,,x,,1760,1
1760,,,x,,1762,1
1762,,,x,,1813,1
1813,,,x,,1815,1
1815,,,x,,1873,1
1873,,,x,,1875,1
1875,,,x,,1883,1
1883,,,x,,1889,1
1889,,,x,,1893,1
1893,,,x,,1926,1
1926,,,x,,1939,1
1939,,,x,,1967,1
1967,,,x,,1979,1
1979,,,x,,1986,1
1986,,,o,term,2017,1
2017,,,x,,2031,1
2031,,,x,,2077,1
2077,,,x,,2113,1
2113,,,x,,2116,1
2116,,,x,,2328,1
2328,,,x,,2354,1
2354,,,x,,2422,1
2422,,,o,password,2452,1
2452,,,x,,2462,1
2462,,,x,,2464,1
2464,,,o,term,2465,1
2465,,,x,,2466,1
2466,,,x,,2468,1
2468,,,o,term,2470,1
2470,,,x,,2473,1
2473,,,x,,2474,1
2474,,,o,term,2477,1
2477,,,x,,2648,1
2648,,,x,,2670,1
2670,,,x,,2712,1
2712,,,x,,2732,1
2732,,,x,,2746,1
2746,,,x,,2845,1
2845,,,o,connection,3036,1
3036,,,o,term,3188,1
3188,,,x,,3193,1
3193,,,x,,3238,1
3238,,,x,,3361,1
3361,,,x,,3368,1
3368,,,x,,3429,1
3429,,,x,,3486,1
3486,,,o,connection,3603,1
3603,,,x,,3635,1
3635,,,x,,3639,1
3639,,,x,,3644,1
3644,,,x,,3648,1
3648,,,x,,3661,1
3661,,,x,,3664,1
3664,,,x,,3720,1
3720,,,x,,3735,1
3735,,,x,,3752,1
3752,,,x,,3769,1
3769,,,o,term,3788,1
3788,,,x,,3797,1
3797,,,x,,3837,1
3837,,,x,,3856,1
3856,,,x,,3875,1
3875,,,x,,3883,1
3883,,,x,,3886,1
3886,,,x,,3888,1
3888,,,o,connection,3889,1
3889,,,x,,3892,1
3892,,,x,,3906,1
3906,,,x,,3921,1
3921,,,x,,3922,1
3922,,,x,,3924,1
3924,,,x,,3928,1
3928,,,x,,3945,1
3945,,,x,,3953,1
3953,,,o,term,3969,1
3969,,,x,,3970,1
3970,,,x,,3996,1
3996,,,o,term,4027,1
4027,,,x,,4047,1
