google/ExoPlayer,,,,,,
number,합병,해결안제시,SBR유무,comment,,
38,,,x,,38,1
51,,,x,,51,1
58,,,x,,58,1
59,,,x,,59,1
61,,,x,,61,1
72,,,x,,72,1
108,,,x,,91,1
116,,,x,,108,1
118,,,x,,116,1
132,,,x,,118,1
133,,,x,,132,1
227,,,x,,133,1
232,,,o,exception handling,227,1
235,,,x,,232,1
244,,,x,해결 x,235,1
262,,,x,,244,1
268,,,x,,262,1
274,,,x,,268,1
278,,,x,,274,1
289,,,x,,278,1
295,,,x,,289,1
301,,,x,,295,1
326,,,x,,301,1
327,,,x,,326,1
328,,,x,,327,1
329,,,o,urlconnection,328,1
347,,,x,,329,1
351,,,x,,347,1
356,,,x,,351,1
358,,,x,양이 너무적음,356,1
371,,,x,,358,1
375,,,x,,371,1
376,,,x,,375,1
377,,,x,,376,1
379,,,x,,377,1
384,,,x,,379,1
385,,,x,,384,1
387,,,x,,385,1
388,,,x,,387,1
391,,,x,,388,1
393,,,x,,391,1
398,,,x,,393,1
400,,,x,,398,1
406,,,x,,400,1
417,,,x,,406,1
450,,,x,,417,1
461,,,x,,450,1
472,,,x,,461,1
473,,,x,,472,1
479,,,x,,473,1
481,483,,x,,479,1
539,,,x,,481,1
546,,,x,,505,1
548,,205,x,,539,1
554,,363,o,exceotion,546,1
555,,,x,,548,1
564,,,x,,554,1
572,,,x,,555,1
574,,,x,,564,1
576,,,o,exception,572,1
580,,,x,,574,1
589,,,x,,576,1
595,,,x,,580,1
596,,,x,,589,1
599,,,o,exception,595,1
603,,,x,,596,1
615,,,x,,599,1
631,,,x,,603,1
641,,,x,,615,1
652,,,x,,631,1
657,,,x,,641,1
687,,,x,,652,1
692,,,x,,657,1
693,,,x,,687,1
694,,,x,,692,1
699,,,x,,693,1
707,,,x,,694,1
713,,,x,,699,1
714,,,x,,707,1
731,,,x,,713,1
736,,,x,,714,1
758,,,x,,731,1
763,,,x,,736,1
764,,,x,,758,1
765,,,x,,763,1
778,,,x,,764,1
784,,,x,,765,1
789,,,x,,778,1
791,,,x,,784,1
800,,,x,,789,1
801,,,x,,791,1
812,,,x,,800,1
825,,,x,,801,1
836,,,x,,812,1
837,,,o,encrypted data,825,1
838,,,x,,836,1
861,,837,o,encrypted data,837,1
874,,,x,,838,1
888,,,x,,861,1
893,,,x,,874,1
898,,,x,,888,1
900,,,x,,893,1
951,,,o,exception,898,1
952,,,x,,900,1
958,,,x,,951,1
965,,,x,,952,1
995,,,x,,958,1
1000,,,x,,965,1
1001,,,x,,995,1
1015,,,x,,1000,1
1019,,,x,,1001,1
1025,,,x,,1015,1
1030,,,x,,1019,1
1038,,,x,loading,1025,1
1041,,,x,,1030,1
1066,,,x,,1038,1
1090,,,x,,1041,1
1095,,,x,,1049,1
1111,,,x,,1066,1
1112,,,x,,1090,1
1136,,,x,,1095,1
1137,,,o,exception,1111,1
1174,,,x,,1112,1
1181,,,x,,1136,1
1185,,,x,,1137,1
1193,,,x,,1174,1
1195,,,x,,1181,1
1197,,,x,,1185,1
1235,,,x,,1193,1
1256,,,x,,1195,1
1285,,,x,,1197,1
1287,,,x,,1235,1
1290,,,x,,1256,1
1295,,,x,,1285,1
1304,,,x,,1287,1
1308,,,x,,1290,1
1315,,,o,exception,1295,1
1317,,,x,,1304,1
1326,,,x,,1308,1
1336,,,o,,1315,1
1341,,,x,,1317,1
1351,,,x,,1326,1
1360,,,x,,1336,1
1363,,,x,,1341,1
1383,,,x,,1351,1
1387,,,x,,1360,1
1416,,,x,,1363,1
1428,,,x,,1383,1
1450,,,x,해결 x,1387,1
1459,,,o,exception handling,1416,1
1470,,,x,,1428,1
1474,,,x,,1450,1
1494,,,x,,1459,1
1506,,,x,,1470,1
1523,,,x,,1474,1
1528,,,x,,1494,1
1529,,,x,,1506,1
1535,,,x,,1523,1
1545,,,o,exception handling,1528,1
1550,,,x,,1529,1
1554,,,x,,1535,1
1559,,,x,,1545,1
1567,,,x,,1550,1
1568,,,x,,1554,1
1573,,,x,,1559,1
1606,,,x,,1567,1
1644,,,x,,1568,1
1653,,,x,,1573,1
1667,,,x,,1606,1
1681,,,o,exception handling,1640,1
1685,,,x,,1644,1
1693,,,x,,1653,1
1707,,,x,,1667,1
1712,,,x,,1681,1
1716,,,x,,1685,1
1717,,,x,,1693,1
1719,,,x,,1707,1
1729,,,x,device,1712,1
1732,,,x,,1716,1
1742,,,x,,1717,1
1759,,,x,,1719,1
1774,,,x,,1729,1
1782,,,x,,1732,1
1784,,,x,,1742,1
1789,,,x,,1759,1
1813,,,x,,1774,1
1820,,,x,,1782,1
1823,,,x,,1784,1
1825,,,x,,1789,1
1837,,,x,,1813,1
1839,,,x,,1820,1
1853,,,x,,1823,1
1854,,,x,,1825,1
1865,,,x,,1837,1
1874,,,x,,1839,1
1875,,,o,exception handling,1853,1
1882,,,x,,1854,1
1888,,,x,,1865,1
1890,,,x,,1874,1
1897,,,x,,1875,1
1899,,,x,,1882,1
1900,,,o,stream exception,1888,1
1907,,,x,,1890,1
1908,,,x,,1897,1
1914,,,x,,1899,1
1919,,,x,,1900,1
1923,,,x,,1907,1
1925,,,x,,1908,1
1943,,,o,memory,1914,1
1957,,,x,,1919,1
1962,,,x,,1923,1
1965,,,x,,1925,1
1975,,,x,,1943,1
1976,,,x,,1957,1
1986,,,x,,1962,1
1991,,,x,,1965,1
