roughike/BottomBar,,,,,,
number,합병,해결안제시,SBR유무,Comment,,
2,,,x,env&config,2,1
3,,,x,env&config,3,1
17,,,x,env&config,17,1
19,,,x,missing case,19,1
20,,,x,env&config,20,1
22,,,x,env&config,22,1
30,,,x,env&config,30,1
44,,,x,env&config,44,1
49,,,x,env&config,49,1
52,,,x,env&config,52,1
53,,,x,env&config,53,1
54,,,x,wrong imple,54,1
55,,,x,env&config,55,1
56,,,x,env&config,56,1
57,,,x,env&config,57,1
77,,,x,env&config,77,1
78,,,x,env&config,78,1
89,111,,x,missing feature,89,1
92,,,x,handler 관련,92,1
100,,,x,missing case,100,1
120,,,x,env&config,120,1
121,,,x,missing case,121,1
126,,,x,env&config,126,1
139,,,x,env&config,139,1
142,,,x,env&config,142,1
143,275,,x,missing case,143,1
276,,,o,exception,276,1
277,,,x,,277,1
425,,,x,env&config,425,1
427,,,x,env&config,427,1
436,,,x,env&config,436,1
444,,,o,exception,444,1
445,,,x,exception+semantic,445,1
448,,,x,,448,1
463,,,x,env&config,463,1
470,,,x,exception 하지만 별다른 코드나 merge가 없음,470,1
471,,,x,missing case,471,1
591,,,x,,591,1
625,,,x,,625,1
718,719,,x,env&config,718,1
748,,,x,semantic 일수도,748,1
,,,,,,1
,,,2,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
