id,date,report,security
26,14-01-18,Issue 26 : AZTEC and DATA_MATRIX do not honor EncodeHintType.MARGIN ， Issue #26 ， zxing/zxing ， GitHub Set EncodeHintType.MARGIN to 4 to QR_CODE  AZTEC  DATA_MATRIX while rendering (in MultiFormatWriter) We should see rendered margin in all square barcode types. Instead  only QR_CODE honors this hint type. https://github.com/zxing/zxing/blob/master/core/src/main/java/com/google/zxing/aztec/AztecWriter.java Ported from https://code.google.com/p/zxing/issues/detail?id=1754,0
214,14-09-02,Issue 214 : Aztec decoder fails: ArrayIndexOutOfBoundsException ， Issue #214 ， zxing/zxing ， GitHub I am using 3.1.1-SNAPSHOT of ZXing. Encoded some UTF-8 text to Aztec Code using the library. However  the Aztec Decoder fails to read the generated code. The stacktrace is following: java.lang.ArrayIndexOutOfBoundsException: 650 at com.google.zxing.common.BitMatrix.get(BitMatrix.java:74) at com.google.zxing.aztec.decoder.Decoder.extractBits(Decoder.java:306) at com.google.zxing.aztec.decoder.Decoder.decode(Decoder.java:76) at com.google.zxing.aztec.AztecReader.decode(AztecReader.java:67) at com.google.zxing.MultiFormatReader.decodeInternal(MultiFormatReader.java:171) at com.google.zxing.MultiFormatReader.decode(MultiFormatReader.java:55) at net.atos.titan.matrixcode.MatrixCode.readMatrixCodeFromBufferedImage(MatrixCode.java:58) at net.atos.titan.matrixcode.MatrixCode.readMatrixCodeFromFile(MatrixCode.java:51) at net.atos.titan.matrixcode.MatrixCodeTest.testLoop(MatrixCodeTest.java:65),0
217,14-09-08,Issue 217 : 12+5 UPC support in Android ， Issue #217 ， zxing/zxing ， GitHub Reasonable background here: http://stackoverflow.com/questions/8544503/zxing-scanning-barcode-with-upc-5-supplemental For older/80s books/comics  the 12+5 UPC is needed to convert to ISBN: http://www.librarything.com/wiki/index.php/ISBN However  I've yet to find any combination of IntentIntegrator or direct Intent call which will produce the full 17 character value.,0
235,14-10-04,Issue 235 : mecard deletes + from the international telephone prefix ， Issue #235 ， zxing/zxing ， GitHub mecard deletes "+" as international telephone prefix  is that wanted? it's a problem to scan it to the cellphone addressbook. Thank you,0
302,15-01-30,Issue 302 : Scan via browser URL seems to cache redirect and return to wrong location ， Issue #302 ， zxing/zxing ， GitHub I have developed a simple web app we use for tracking boxes at work which updates a database. The boxes all have barcodes attached. This is somewhat simplified  but for the purposes of this bug report I have two pages in the web app: Look up a box Add a new box On the "add a new box" page I have a button which links to Barcode Scanner with a URL like: http://zxing.appspot.com/scan?ret=https%3A%2F%2Fmyserver.example.com%2Faddbox.php%3F%26xid%3D%7BCODE%7D On the "look up a box" page I have a similar button but it links to a different URL: http://zxing.appspot.com/scan?ret=https%3A%2F%2Fmyserver.example.com%2Flookupbox.php%3F%26xid%3D%7BCODE%7D However  I find if I go to "add a new box"  scan a barcode with a particular value (doesn't seem to matter what type of barcode  I've reproduced with code 128 and with QR code)  I am redirected correctly. But if I later go to "look up a box" and scan the same barcode  it returns me to addbox.php not lookupbox.php even though the link on the "look up a box" page was definitely correct. If I scan a different barcode on the "look up a box" page I'm correctly redirected to lookupbox.php. If I clear all zxing's app data  and go to the "look up a box" page  and scan the same barcode  I'm also correctly redirected to lookupbox.php. It looks like zxing is somehow caching the ret= value along with a particular barcode and refusing to change it on a later scan of the same code. This breaks my web app's functionality. I guess the only way I can really work around it is by redirecting all scans to the same scan.php page and then using PHP session variables or something to tell scan.php where I really want to be redirected to. This is  quite obviously  a pain. I'm using Barcode Scanner version 4.7.0 on a Sony Xperia Z2 running Android 4.4.4.,0
361,15-04-24,Issue 361 : DataMatrix encoder throws IllegalArgumentException in ZXing 3.2.0 ， Issue #361 ， zxing/zxing ， GitHub Given the following encode method: public static BufferedImage encode(String contents  String format  int width  int height     Map<EncodeHintType  ?> hints) {     BufferedImage result = null;     BarcodeFormat barcodeFormat = BarcodeFormat.valueOf(format);     MultiFormatWriter barcodeWriter = new MultiFormatWriter();     BitMatrix matrix = null;     try {         matrix = barcodeWriter.encode(contents  barcodeFormat  width  height  hints);     } catch (WriterException ex) {         return null;     }     result = MatrixToImageWriter.toBufferedImage(matrix);     return result; }  Calling encode("1234"  "DATA_MATRIX"  300  300  null) throws Exception in thread "main" java.lang.IllegalArgumentException: Can't find a symbol arrangement that matches the message. Data codewords: 2 at com.google.zxing.datamatrix.encoder.SymbolInfo.lookup(SymbolInfo.java:148) at com.google.zxing.datamatrix.encoder.EncoderContext.updateSymbolInfo(EncoderContext.java:127) at com.google.zxing.datamatrix.encoder.EncoderContext.updateSymbolInfo(EncoderContext.java:122) at com.google.zxing.datamatrix.encoder.HighLevelEncoder.encodeHighLevel(HighLevelEncoder.java:189) at com.google.zxing.datamatrix.DataMatrixWriter.encode(DataMatrixWriter.java:84) at com.google.zxing.MultiFormatWriter.encode(MultiFormatWriter.java:94),0
394,15-05-20,Issue 394 : Multibyte characters are not handled properly in PDF417 encoder  ， Issue #394 ， zxing/zxing ， GitHub Trying to encode the string "1%」s ?aG$" with PDF417 encoder (Charset UTF-8  Compaction Byte) throw a "Non-encodable character detected" exception. The problem seems to be that 」 is encoded as "c2 a7" in unicode and thus for all characters after the 」 the index in the input-string does not match the index in the encoded byte array.,0
428,15-07-21,Issue 428 : Incorrect Code 93 decoding ， Issue #428 ， zxing/zxing ， GitHub I wanted to use the zxing readers to check the encoding of barcodes in Okapi. However  I think I may have found a bug in zxing -- the following image  which encodes "() {}~" using Code 93  decodes as "() EGH" in zxing. My physical barcode scanner reads "()* {}~"  as does Okapi.,0
467,15-09-23,Issue 467 : zxing.org ChartServlet allocates lots of objects in making BufferedImage ， Issue #467 ， zxing/zxing ， GitHub Turns out that building a BufferedImage from pixels with a number of calls to setRGB is inefficient as it constantly allocates tiny arrays for each pixel. Making one big array upfront and setting it should be more efficient.,0
484,15-10-20,Issue 484 : Reverse Image on Nexus 5x ， Issue #484 ， zxing/zxing ， GitHub Could be relating to Issue #480 When opening the app  the image in inverted. Does not affect the ability to scan the QR code however it can be confusing trying to get the QR image in the right place :) See attached image as an example. Thanks,0
